0114 Upplands Väsby;45543
0115 Vallentuna;33432
0117 Österåker;44831
0120 Värmdö;44397
0123 Järfälla;78480
0125 Ekerö;28308
0126 Huddinge;111722
0127 Botkyrka;93106
0128 Salem;16786
0136 Haninge;89989
0138 Tyresö;48004
0139 Upplands-Bro;28756
0140 Nykvarn;10923
0160 Täby;71397
0162 Danderyd;33187
0163 Sollentuna;72528
0180 Stockholm;962154
0181 Södertälje;97381
0182 Nacka;103656
0183 Sundbyberg;50564
0184 Solna;80950
0186 Lidingö;47818
0187 Vaxholm;12023
0188 Norrtälje;61769
0191 Sigtuna;48130
0192 Nynäshamn;28290
0305 Håbo;21564
0319 Älvkarleby;9392
0330 Knivsta;18720
0331 Heby;13910
0360 Tierp;21127
0380 Uppsala;225164
0381 Enköping;44429
0382 Östhammar;22048
0428 Vingåker;9136
0461 Gnesta;11237
0480 Nyköping;56011
0481 Oxelösund;12062
0482 Flen;16705
0483 Katrineholm;34550
0484 Eskilstuna;105924
0486 Strängnäs;35761
0488 Trosa;13309
0509 Ödeshög;5323
0512 Ydre;3743
0513 Kinda;9915
0560 Boxholm;5449
0561 Åtvidaberg;11537
0562 Finspång;21758
0563 Valdemarsvik;7956
0580 Linköping;161034
0581 Norrköping;141676
0582 Söderköping;14618
0583 Motala;43687
0584 Vadstena;7514
0586 Mjölby;27373
0604 Aneby;6832
0617 Gnosjö;9776
0642 Mullsjö;7324
0643 Habo;12140
0662 Gislaved;29857
0665 Vaggeryd;13980
0680 Jönköping;139222
0682 Nässjö;31477
0683 Värnamo;34428
0684 Sävsjö;11631
0685 Vetlanda;27504
0686 Eksjö;17667
0687 Tranås;18987
0760 Uppvidinge;9581
0761 Lessebo;8780
0763 Tingsryd;12407
0764 Alvesta;20150
0765 Älmhult;17568
0767 Markaryd;10260
0780 Växjö;92567
0781 Ljungby;28573
0821 Högsby;6094
0834 Torsås;7098
0840 Mörbylånga;15048
0860 Hultsfred;14360
0861 Mönsterås;13565
0862 Emmaboda;9400
0880 Kalmar;68510
0881 Nybro;20350
0882 Oskarshamn;26928
0883 Västervik;36680
0884 Vimmerby;15764
0885 Borgholm;10873
0980 Gotland;59249
1060 Olofström;13516
1080 Karlskrona;66675
1081 Ronneby;29695
1082 Karlshamn;32330
1083 Sölvesborg;17468
1214 Svalöv;14123
